Event Name,Description,Audience,Cycle,Email,Website,Date,Duration,Venue,City,Country
IERI L'ALTRO 2023,"A market displaying modern art, collectables, antiques and vintage items in Piazza del Popolo, in the heart of Faenza, an elegant town crossed by the Via Emilia and rich in history, culture and traditions",Public,unknown,info@blunautilus.it,http://www.blunautilus.it/eventi,2023-11-12,1,Piazza del Popolo,Faenza,Italy
PETERFOOD 2023,Specialized Exhibition of Food Products,Public,once a year,peterfood@peterstar.ru,http://en.peterfood.ru/,2023-11-14,3,ExpoForum Convention and Exhibition Centre,St. Petersburg,Russia
PROFESIA DAYS - KOŠICE 2023,Job Fair for All,Public,once a year,vystava@profesia.sk,http://profesiadays.sk/en,2023-11-14,2,Spolocenský Pavilón,Kosice,Slovakia
C&R 2023,International exhibition of air conditioning and refrigeration,Public,every 2 years,atencionalcliente@ifema.es,http://www.ifema.es/cr,2023-11-14,4,Ifema - Parque Ferial Juan Carlos I,Madrid,Spain
URBEST METZ 2024,"Urban Equipment Fair. URBEST exhibition will showcase Street Furniture, Play Equipment, Ground Surfacing, Lighting, Signposting, Associated Services, Sports Facilities, Street and Green Space Maintenance Machines",Public,once a year,urbest@metz-expo.com,http://www.metz-expo.com/evenements-metz-detail.asp?planningid=76,2024-01-23,2,Metz - Centre International des Congrès et Foires Expositions,Metz,France
THE MIDLAND COIN FAIR 2023,"The UK's Premier International Numismatic Show. Coins, Banknotes, Medals, Antiquities, Bonds & Shares, Numismatic Societies",Public,unknown,info@coinfairs.co.uk,http://www.coinfairs.co.uk/,2023-11-12,1,National Motorcycle Museum,Solihull,UK - United Kingdom
SUPPLY CHAIN EVENT 2023,Logistics and Transport Exhibition,Public,once a year,rxinfo@reedexpo.co.uk,http://www.supplychain-event.com/en,2023-11-14,2,Paris Expo Porte de Versailles,Paris,France
WINE2WINE 2023,Italian Industry Forum entirely dedicated to the Business of Wine,Public,once a year,info@veronafiere.it,http://www.wine2wine.net/,2023-11-13,2,Verona Exhibition Centre,Verona,Italy
MEDICA 2023,International Trade Show for the Medical Industry,Public,once a year,info@medica.de,http://www.medica.de/,2023-11-13,4,Düsseldorf Exhibition Centre,Dusseldorf,Germany
WATERPROOF MEMBRANES 2023,Conference dedicated to trends and technical developments in the international Waterproof Membranes industry,Public,once a year,info@amiplastics.com,http://www.ami.international/events/event?Code=C1159,2023-11-14,3,"Pullman Hotel, Köln",Cologne,Germany
MILIPOL PARIS 2023,Worldwide Exhibition of Internal State Security,Public,every 2 years,info@milipol.com,http://www.milipol.com/,2023-11-14,4,Paris Nord Villepinte,Paris,France
COMPAMED 2023,"International trade show for the medical supplier industry and product development. Components, parts and materials for the medical industry",Public,once a year,info@messe-duesseldorf.de,http://www.compamed.de/,2023-11-13,4,Düsseldorf Exhibition Centre,Dusseldorf,Germany
WATERPROOF MEMBRANES EUROPE 2023,Conference dedicated to Waterproof Membranes. Connect with developers of innovative waterproofing solutions for the building and civil engineering industries,Public,once a year,consult@amiplastics-na.com,http://www.ami.international/events/upcoming,2023-11-14,3,"Maritim Hotel, Köln",Cologne,Germany
ERTC 2023,The single largest gathering of refining and petrochemical leadership within Europe,Public,once a year,support@clarionevents.com,http://ertc.wraconferences.com/,2023-11-13,4,Stresa,Stresa,Italy
WECA - WORLD ENERGY CAPITAL ASSEMBLY 2023,"Europe's largest gathering of energy executives, finance and investment professionals",Public,once a year,,http://energycouncil.com/event-events/world-energy-capital-assembly,2023-11-13,2,London,London,UK - United Kingdom
FÖRDERPROZESS-FOREN 2023,"Industry Forum for suppliers and for buyers from end-user industries that manufacture and process powder, granules and bulk solids (including food & beverage manufacturing, chemicals, cosmetics, animal feed and pet food). Handling, Storage, Logistics",Public,once a year,salesvtt@vogel-medien.de,http://www.foerderprozess-foren.de/,2023-11-14,2,Marienberg Fortress,Würzburg,Germany
CLEANTECH FORUM EUROPE 2023,"Showcase for venture-grade, emerging clean technology investment opportunities. Cleantech addresses the roots of ecological problems with new science, emphasizing natural approaches such as biomimicry and biology",Public,once a year,europe@cleantech.com,http://www.cleantech.com/event/cleantech-forum-europe,2023-11-14,3,Tallinn,Tallinn,Estonia
PEGS EUROPE 2023,"PEGS, the essential Protein Engineering Summit is one of the industry’s most preeminent events that inspires accelerated biotherapeutic protein drug development",Public,once a year,chi@healthtech.com,http://www.pegsummiteurope.com/,2023-11-14,3,Lisbon,Lisbon,Portugal
GAUDEAMUS NITRA 2023,International Education Expo,Public,once a year,info@gaudeamus.cz,http://gaudeamus.cz/nitra,2023-11-14,2,Agrokomplex Nitra,Nitra,Slovakia
SCS FORMULATE 2023,"Exhibition for Formulators in the Personal Care Industry. SCS Formulate is the meeting in the UK dedicated to personal care ingredients, attracting a substantial proportion of the UK market & focuses on the latest technologies, applications & ingredients",Public,once a year,kirstenhill@stepex.com,http://www.scsformulate.co.uk/,2023-11-14,2,Ricoh Arena,Coventry,UK - United Kingdom
CONGRÈS HR '2023,"Congress of Human Resources departments. With two annual meetings, the HR Congress has established itself as the flagship event of the HR community in France",Public,twice a year,contact@arcaneo-group.com,http://www.congreshr.com/,2023-11-14,2,Le Pré Catelan,Paris,France
STOFFEN SPEKTAKEL LIBRAMONT 2023,Expo of fabrics and textiles. Experience the latest fashion and warm colors at the cozy fabric markets,Public,twice a year,info@stoffenspektakel.nl,http://www.stoffenspektakel.nl/,2023-11-12,1,Halles aux Foires,Libramont-Chevigny,Belgium
JUNIOSHOW 2023,"Bursa International Baby, Kidswear and Kids Necessities Fair",Public,once a year,sales@tuyap.com.tr,http://www.junioshow.com.tr/en,2023-11-14,3,Tüyap Bursa International Fair and Congress Center,Bursa,Turkey
WORLD LP GAS FORUM 2023,"World LP Gas Forum. World LP Gas Forum is the premier global event for the LP Gas industry. It travels the globe annually attracting key international agencies, policy makers, media & the highest level of industry leaders to explore the LP Gas business",Public,once a year,registration@wlpgasforum-aegpl2010.com,http://www.wlpga.org/events/world-lpg-forum,2023-11-13,5,Rome,Rome,Italy
MUSEVA 2023,"International Trade show for museums and tourist sites, dedicated to private venue hire for museums, monuments and all cultural venues",Public,once a year,contact@museumexperts.com,http://www.museva.fr/en,2023-11-14,1,Théâtre national de Chaillot,Paris,France
IL SALONE DELLO STUDENTE - CATANIA 2023,"Catania Student's Exhibition. A unique opportunity to meet and learn about all the post-graduate opportunities, in Italy and abroad",Public,once a year,salonedellostudente@class.it,http://www.salonedellostudente.it/,2023-11-12,2,Le Ciminiere,Catania,Italy
AFFAIRE DE CADEAUX 2023,"Trade show for business gifts, motivational items and promotional items. Business gifts represent the image of the company, in order to communicate, reward and build loyalty",Public,once a year,contact@weyou-group.com,http://www.affaire-de-cadeaux.fr/?lg=en,2023-11-14,3,Paris Expo Porte de Versailles,Paris,France
APPLIED MICROBIOLOGY 2023,World Congress and Expo on Applied Microbiology,Public,once a year,microbiology@conferenceseries.net,http://microbiology.conferenceseries.com/,2023-11-15,2,Barcelona,Barcelona,Spain
MEDICAL IMAGING CONVENTION 2023,UK’s dedicated trade show for medical imaging professionals and senior management teams,Public,once a year,sales@imagingconvention.com,http://www.imagingconvention.com/,2023-11-14,2,Olympia Exhibition Centre,London,UK - United Kingdom
BELGIUM TRAVEL EXPO - ANTWERPEN 2023,Meeting Place dedicated exclusively to Travel Professionals,Public,once a year,office@btexpo.com,http://www.btexpo.com/,2023-11-14,1,BluePoint Antwerpen,Antwerp,Belgium
JUBINALE 2023,JUBINALE is a two-day polish fair dedicated to the jewelery and watch industry,Public,twice a year,info@jubinale.com,http://jubinale.com.pl/,2023-11-14,2,Expo Krakow,Krakow,Poland
PRODUCTRONICA 2023,International Trade Fair for Innovative Electronics Production,Public,every 2 years,info@productronica.de,http://www.productronica.com/,2023-11-14,4,Fairground Messe München,Munich,Germany
EAWSC CHISINAU + WINE WEEK 2024,International Wine Exhibition,Public,once a year,eawsc@poliproject.md,http://www.facebook.com/winecontest,2024-02-01,1,I.E.C. Moldexpo,Chisinau,Moldova
SPACE TECH EXPO EUROPE 2023,"Europe’s largest exhibition and conference for the space industry. It focuses on the digitalisation of the space technology industry, as systems and manufacturing processes relying more and more on software programs and autonomous capabilities",Public,once a year,info@tarsus.co.uk,http://www.spacetechexpo.eu/,2023-11-14,3,Bremen MesseCentrum,Bremen,Germany
BELGIUM TRAVEL EXPO - NIVELLES 2023,Meeting Place dedicated exclusively to Travel Professionals,Public,once a year,office@btexpo.com,http://www.btexpo.com/,2023-11-13,1,"Hotel Van Der Valk, Nivelles",Nivelles,Belgium
WEB SUMMIT 2023,The Web Summit is a global gathering of the world's leading thinkers and doers in technology,Public,once a year,katie@websummit.net,http://websummit.net/,2023-11-13,4,Altis Arena,Lisbon,Portugal
CLIMATIZACIÓN & REFRIGERACIÓN 2023,"Air-conditioning, Heating, Ventilation and Refrigeration Exhibition",Public,every 2 years,climatizacion@ifema.es,http://www.ifema.es/cr,2023-11-14,4,Ifema - Parque Ferial Juan Carlos I,Madrid,Spain
AYSAF 2023,"Istanbul International Exhibition for Footwear Materials, Components, Leather and Technologies",Public,twice a year,sales@artkim.com.tr,http://www.aysafexpo.com/en,2023-11-15,4,Istanbul Expo Center / Istanbul Fuar Merkezi / CNR Expo,Istanbul,Turkey
AM MEDICAL DAYS 2023,"The hybrid decision-maker and expert conference brings together the entire value-added system related to 3D-printed medicine: Doctors, hospital chains, medical technology manufacturers, regulatory authorities, health insurance companies...",Public,once a year,info@ipm.ag,http://www.medical-am.de/,2023-11-13,2,"Holiday Inn, BER Airport",Berlin,Germany
REX 2023,"International Trade Show of Advertising, Marketing, and the Mass Media",Public,once a year,info@eindex.kiev.ua,http://www.euroindex.ua/index.php,2023-11-15,2,Kiev ExpoPlaza Exhibition Center,Kiev,Ukraine
FARM BUSINESS INNOVATION 2023,"Inspiration, Advice & Resource to make your land more profitable. Key individuals and experts in their fields will share their knowledge, stories and advice",Public,once a year,sales@agriconnect.com,http://www.farmbusinessshow.co.uk/,2023-11-15,2,National Exhibition Centre,Birmingham,UK - United Kingdom
LE SALON EUROPÉEN DE L'ÉDUCATION 2023,The Salon européen de l'éducation is the annual event for education professionals and hundreds of thousands of young people who come to think about their orientation,Public,once a year,adubroca@laligue.org,http://salon-education.com/,2023-11-15,5,Paris Expo Porte de Versailles,Paris,France
SOVREMENNAYA STOMATOLOGIYA. DENTAL-EXPO. ROSTOV 2023,"Dental equipment, Dental instruments and Dental materials expo & forum in Rostov-on-Don",Public,once a year,medexpo@biexpo.kg,http://en.dental-expo.com/rostov-en,2023-11-15,3,Rostov Arena,Rostov-on-Don,Russia
OIL & NON OIL 2023,"Oil & no noil – Fuel Storage & Transport - continues to consolidate its role as Italy’s only event for all players in the liquid and gas fuel distribution industry, from depot to vehicle tank",Public,once a year,info@oilnonoil.it,http://www.oilnonoil.it/en,2023-11-15,3,Verona Exhibition Centre,Verona,Italy
EXPO MOBILIA 2023,"International specialized exhibition of furniture, equipment, tools, raw materials and accessories for furniture manufacture",Public,once a year,info@moldexpo.md,http://www.furniture.moldexpo.md/en,2023-11-16,4,I.E.C. Moldexpo,Chisinau,Moldova
SATIS 2023,Show for Audiovisual Technologies and Solutions,Public,once a year,satis@reedexpo.fr,http://www.satis-expo.com/,2023-11-15,2,Les Docks de Paris,Saint-Denis,France
SICUREZZA 2023,International Security & Fire Prevention Trade Show,Public,every 2 years,mail@fieramilanotech.it,http://www.sicurezza.it/,2023-11-15,3,"Fiera Milano, Rho",Milan,Italy
COMPOSITES SPAIN 2023,The main Spanish fair dedicated to composite materials and their applications,Public,once a year,lineaifema@ifema.es,http://www.metalmadrid.com/en,2023-11-15,2,Hilton Madrid Airport,Madrid,Spain
LEISURE F&B EXPO 2023,Food and Beverage Marketplace for Holiday Parks and Visitor Attractions,Public,once a year,becky.french@agriconnect.com,http://www.leisurefb.co.uk/,2023-11-15,2,National Exhibition Centre,Birmingham,UK - United Kingdom
DENTAL-EXPO ROSTOV 2023,"Dental equipment, Dental instruments and Dental materials expo & forum in Rostov",Public,once a year,info@dental-expo.com,http://www.dental-expo.com/rostov.html,2023-11-15,3,Rostov Arena,Rostov-on-Don,Russia
METALMADRID 2023,"The MetalMadrid is the leading trade fair for industrial innovation: machinery, components, subcontracting, mechanical engineering, materials, robotics, surface treatment, composites, additive manufacturing and much more",Public,once a year,lineaifema@ifema.es,http://www.metalmadrid.com/,2023-11-15,2,Ifema - Parque Ferial Juan Carlos I,Madrid,Spain
T-REX 2023,"International Trade Show of Technologies, Equipment and Materials for Production of Advertisements",Public,once a year,info@eindex.kiev.ua,http://www.euroindex.ua/index.php,2023-11-15,2,Kiev ExpoPlaza Exhibition Center,Kiev,Ukraine
EDUCATEC - EDUCATRICE 2023,Event exclusively dedicated to the Professionals of the Educational and Vocational Training Sectors,Public,once a year,contact@weyou-group.com,http://www.educatec-educatice.com/,2023-11-15,3,Paris Expo Porte de Versailles,Paris,France
STONE INDUSTRY FAIR 2023,Stone Industry Fair,Public,once a year,info@grupamtp.pl,http://mtp.pl/en,2023-11-15,3,Poznan Congress Center,Poznan,Poland
NOVI SAD FAIR OF TOURISM 2023,International Fair of Tourism,Public,once a year,info@sajam.net,http://www.sajam.net/en,2023-11-16,3,Novi Sad Fairground,Novi Sad,Serbia
MADE EXPO 2023,International Architecture and Building Trade Show,Public,every 2 years,info@madeexpo.it,http://www.madeexpo.it/,2023-11-15,4,"Fiera Milano, Rho",Milan,Italy
SWEDENTAL & THE ANNUAL DENTAL CONGRESS 2023,"Swedental and The Annual Dental Congress in Gothenburg presents new products, innovative methods, effective services and a chance to update your dental skills",Public,every 3 years,swedental@svenskamassan.se,http://www.swedental.se/,2023-11-15,3,Umeå,Umeå,Sweden
COSMETICA BERLIN 2023,COSMETICA Berlin is the meeting place for all beauty experts. Products for you daily work or high-class interior for you studio ? Hundreds of companies and brands offer their goods and are happy to advise you personally and competently,Public,once a year,warth@cosmetica.de,http://www.cosmetica.de/cosmetica-berlin,2023-11-15,2,Messegelände Berlin,Berlin,Germany
FOOD PROCESSING & TECHNOLOGY 2023,International Conference and exhibition on Food Processing & Technology,Public,once a year,foodtechnology@omicsgroup.us,http://foodtechnology.insightconferences.com/,2023-11-15,2,Barcelona,Barcelona,Spain
DIABETES PROFESSIONAL CARE 2023,"A must-attend Event for anyone involved in the Prevention, Treatment and Management of Diabetes and it related Conditions",Public,once a year,info@closerstillmedia.com,http://www.diabetesprofessionalcare.com/,2023-11-15,2,Olympia Exhibition Centre,London,UK - United Kingdom
INTERNATIONAL ENERGY CONGRESS & EXPO - EIF TURKEY 2023,"International Energy Congress & Expo. EIF TURKEY EXPO showcases Renewable Energy Systems and Technologies, Solar & Wind Power Systems, Oil & Gas, Wind Turbine Towers, Electricity Generation Systems",Public,once a year,international@dominoexpo.com,http://worldenergy-congress.com/,2023-11-15,3,Istanbul Expo Center / Istanbul Fuar Merkezi / CNR Expo,Istanbul,Turkey
EXPONATEC COLOGNE 2023,"International Trade Fair for Museums, Conservation & Heritage. EXPONATEC links the classic core segments of the museum, conservation, restoration & cultural heritage with future-oriented trends like virtual reality, 3D staging, new digital developments..",Public,every 2 years,info@koelnmesse.de,http://www.exponatec.com/,2023-11-16,3,Exhibition Centre Cologne,Cologne,Germany
STONE POZNAN 2023,The most important business event for stone industry in central and eastern Europe,Public,once a year,stone@grupamtp.pl,http://targistone.pl/en,2023-11-15,3,Poznan Congress Center,Poznan,Poland
SIBERIAN FOOD WEEK 2023,"Exhibition of Food, Beverages, equipment, packaging and ingrédients for the food industry",Public,once a year,makarova@svkexpo.ru,http://prod-week.ru/,2023-11-15,3,Novosibirsk Expocentre,Novosibirsk,Russia
SIMED 2023,Mediterranean Real Estate Show. Leader in the residential sector and specialized in second homes and real estate investment,Public,once a year,info@fycma.com,http://www.simedmalaga.com/,2023-11-16,3,Palacio de Ferias y Congresos de Malaga,Malaga,Spain
METSTRADE 2023,"The METSTRADE Show is the world’s largest trade exhibition of marine equipment, materials and systems",Public,once a year,registration@rai.nl,http://www.metstrade.com/,2023-11-15,3,RAI International Exhibition and Congress Centre,Amsterdam,Netherlands
THE KNITTING & STITCHING SHOW - HARROGATE 2023,The Knitting and Stitching Shows are the definitive and best exhibitions for lovers of textiles in the UK and Ireland,Public,once a year,,http://www.theknittingandstitchingshow.com/harrogate,2023-11-16,4,Harrogate International Centre,Harrogate,UK - United Kingdom
ACCESS MBA - BELGRADE 2023,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,once a year,coutat@advent-communication.net,http://www.accessmba.com/tour,2023-11-16,1,Belgrade,Belgrade,Serbia
SALÓN DEL AUTOMÓVIL - VEHÍCULO NUEVO 2023,Ourense New Car Show (Spain),Public,once a year,expourense@expourense.org,http://www.expourense.org/,2023-11-16,4,Expourense,Ourense,Spain
CONGRÈS ÂGE 3 & HANDICAP - MARSEILLE 2023,Professional congress of retirement homes and structures welcoming dependent elderly people,Public,once a year,contact@age-3.fr,http://age-3.fr/,2023-11-16,1,Parc Chanot,Marseille,France
COMPOSITE MEETINGS 2023,B to B meetings for composite materials,Public,every 2 years,info@advbe.com,http://france.compositesmeetings.com/index.php/en,2023-11-15,2,La Cité Nantes Events Center,Nantes,France
LOGITRANS 2023,International Transport & Logistics Exhibition in Turkey,Public,once a year,eko@ekofuar.com.tr,http://www.logitrans.istanbul/,2023-11-15,3,Istanbul Expo Center / Istanbul Fuar Merkezi / CNR Expo,Istanbul,Turkey
DATACENTRES IRELAND 2023,"DataCentres Ireland is a free event bringing together owners, operators, suppliers, investors and innovators under one roof. Infrastructure, Services, Solutions",Public,once a year,datacentres@stepex.com,http://www.datacentres-ireland.com/,2023-11-15,2,Royal Dublin Society,Dublin,Ireland
LONDON VET SHOW 2023,Veterinary Forum. The event offers vets practical and relevant training with clinical programmes for small animal vets,Public,once a year,info@closerstillmedia.com,http://london.vetshow.com/,2023-11-16,2,ExCeL,London,UK - United Kingdom
COUNTRY LIVING CHRISTMAS FAIR - GLASGOW 2023,"Christmas Shopping Fair. The Glasgow Country Living Christmas Fair features a range of original gifts, home decorating ideas and delicious treats to cater for everybody on your Christmas list",Public,once a year,,http://www.countrylivingfair.com/,2023-11-16,4,SEC - Scottich Event Campus,Glasgow,UK - United Kingdom
CAVALIADA WARSZAWA 2023,Horse Fair in Warsaw,Public,once a year,info@grupamtp.pl,http://warszawa.cavaliada.pl/,2023-11-16,4,Arena COS Torwar,Warsaw,Poland
HIX - HOTEL INTERIORS EXPERIENCE 2023,"Across two days of expo, talks, installations & networking, HIX celebrates everything that makes hotels great. Bringing the hotel interiors supply chain together, it highlights the best established & emerging brands and the latest trends in hotel design",Public,once a year,info@hixevent.com,http://hixevent.com/,2023-11-16,2,"The Business Design Centre, Islington",London,UK - United Kingdom
DENTAL SCANDINAVIA 2023,Swedish Dental Society's Odontological Trade Show,Public,once a year,info@stockholmsmassan.se,http://www.swedental.org/,2023-11-15,3,Stockholmsmässan - Stockholm International Fairs,Stockholm,Sweden
HOLIDAY PARK & RESORT INNOVATION 2023,"The Event to Grow, Evolve or Expand your Holiday Business",Public,once a year,sales@agriconnect.com,http://www.holidayparkshow.co.uk/,2023-11-15,2,National Exhibition Centre,Birmingham,UK - United Kingdom
WINTI MÄSS 2023,Winterthur Winter Fair,Public,once a year,info@maurer-salzmann.ch,http://www.wintimesse.ch/,2023-11-15,5,Eulachhallen,Winterthur,Switzerland
COLOGNE FINE ART 2023,International Fair for Modern and Contemporary Art,Public,once a year,info@koelnmesse.de,http://www.cologne-fine-art.com/,2023-11-16,4,Exhibition Centre Cologne,Cologne,Germany
SMART BUILDING EXPO 2023,"The most important expo-forum dedicated to digital technologies in Building Industry. Interoperability, news and previews on production, commercialization and installation of the ultimate digital devices for security, entertainment and interactivity",Public,every 2 years,info@smartbuildingexpo.it,http://smartbuildingexpo.it/,2023-11-15,3,"Fiera Milano, Rho",Milan,Italy
LONDON BUILD EXPO 2023,The Leading Building & Construction Show for London,Public,once a year,info@londonbuildexpo.com,http://www.londonbuildexpo.com/,2023-11-15,2,Olympia Exhibition Centre,London,UK - United Kingdom
FAMILY ATTRACTION EXPO 2023,The event to grow and expand your Family & Leisure Attraction Park,Public,once a year,sales@agriconnect.com,http://www.familyattractionexpo.co.uk/,2023-11-15,2,National Exhibition Centre,Birmingham,UK - United Kingdom
CONCRETA 2023,International Building Materials Exhibition. Architecture & Interiors Trends,Public,every 2 years,dir.concreta@exponor.pt,http://maisconcreta.exponor.pt/?lang=en,2023-11-16,2,Exponor,Porto,Portugal
ECO LIVING SCANDINAVIA 2023,"Eco Life Scandinavia is the largest sustainable B2B trade event in the Nordic countries for trade buyers in the healthy living, nutrition, natural beauty and self-care sectors",Public,once a year,info@divcom.co.uk,http://www.ecolifeshow.com/,2023-11-15,2,MalmöMässan,Malmö,Sweden
INTUR 2023,International Tourism Exhibition,Public,once a year,feriavalladolid@feriavalladolid.com,http://feriavalladolid.com/calendario-ferial,2023-11-16,4,Feria de Valladolid,Valladolid,Spain
HORECA EXPO 2023,"Trade Fair on Equipment for Hotels, Restaurants, Cafés and Communities",Public,once a year,horecaexpo@artexis.com,http://www.horecaexpo.be/,2023-11-19,4,Flanders Expo,Ghent,Belgium
CLOUD EXPO EUROPE - PARIS 2023,"Event dedicated to Data centres, cloud computing, security, blockchain, big data & AI and the Internet of Things",Public,once a year,info@closerstillmedia.com,http://www.cloudexpoeurope.fr/,2023-11-15,2,Paris Expo Porte de Versailles,Paris,France
SALON DE L'ETUDIANT D'ARRAS 2023,"Student fair. The perfect place to think about your career plans, your future profession, and build your study path",Public,once a year,info@letudiant.fr,http://salon-de-l-etudiant-arras.salon.letudiant.fr/,2023-11-16,1,Parc des Expositions Artois Expo,Arras,France
LE SALON BABY LILLE 2023,"Expo for prospective parents, babies and young children",Public,once a year,sec@lesalonbaby.com,http://www.lesalonbaby.com/dates_et_lieux.html,2023-11-18,2,La Cité des échanges,Lille,France
HOBBY 2023,"Model, games and hobby fair. Miniature cars, model trains, presentations by model makers, board games, LEGO, sports, dance, sewing...",Public,once a year,hobby@grupamtp.pl,http://targihobby.pl/,2023-11-18,2,Poznan Congress Center,Poznan,Poland
MOM & BABY 2023,"Specialized exhibition-forum of goods and services for mothers and childre. Pregnancy and Childbirth, goods and services for mothers, newborns and children, pre-school education & infant development, additional education of children, antenatal clinics...",Public,once a year,global@expoforum.by,http://expoforum.by/en/exhibitions,2023-11-17,3,Palace of Arts,Minsk,Belarus
HEROES DUTCH COMIC CON 2023,"Heroes Dutch Comic Con is the largest comic con in the Netherlands. It offers a varied program in the field of films, series, comics, cosplay, games, superheroes, fantasy / science fiction and anime",Public,once a year,service@jaarbeurs.nl,http://www.dutchcomiccon.com/,2023-11-18,2,Jaarbeurs Utrecht,Utrecht,Netherlands
FINNISH CRAFT & DESIGN 2023,"Finland's biggest trade fair for crafts and design, from handmade to small-scale production",Public,once a year,info@tampereenmessut.fi,http://www.kadentaidot.fi/en,2023-11-17,3,Tampereen Messu,Tampere,Finland
FROSINONE SPOSI EXPO 2023,"Frosinone Wedding Fair. You will be able to personally meet the best exhibitors on the market, to better organize your wedding, with the support of wedding professionals and specialized companies",Public,once a year,info@sposiexpo.it,http://www.sposiexpo.it/frosinone,2023-11-18,2,"Villa Ecetra, Frosinone",Frosinone,Italy
IGEHO 2023,"International Exhibition for Industrial and Institutional Catering, Hotels and Restaurants",Public,every 2 years,igeho@messe.ch,http://www.igeho.ch/,2023-11-18,5,Basel Fairground,Basel,Switzerland
ACCESS MBA - SOFIA 2023,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,twice a year,coutat@advent-communication.net,http://www.accessmba.com/tour,2023-11-18,1,Sofia,Sofia,Bulgaria
ID D'ART - LYON 2023,"Creative Design Show in Lyon. The 'Salon ID d'ART' offers original, contemporary and astonishing collections. Elegant and casual fashion, chic and graphic objects, vintage accessories, contemporary canvases & lighting",Public,once a year,id-dart@id-dart.com,http://www.id-dart.com/,2023-11-18,2,La Sucrière,Lyon,France
SALON DES VINS ET DE LA GASTRONOMIE - NANTES 2023,"The fairs « Vins & Gastronomie » offer artisans the opportunity to showcase their know-how and share their passion for good products with the public. Hundreds of producers, winegrowers, distributors and artisans in the catering trade",Public,once a year,salondesvinsetdelagastronomie@gl-events.fr,http://www.salons-vins-gastronomie.fr/fr/nos-evenements-salon,2023-11-17,4,Exponantes - La Beaujoire,Nantes,France
"LE SALON ARTS, COMMUNICATION ET NUMÉRIQUE DE RENNES 2023","Salon dédié aux formations artistiques, de communication et numériques. Les écoles présentes seront à votre écoute pour vous parler des cursus possibles afin de peaufiner votre projet d’études et trouver l’établissement qui vous correspond",Public,once a year,info@letudiant.fr,http://salon-arts-communication-et-numerique-rennes.salon.letudiant.fr/,2023-11-18,1,Parc-Expo de Rennes-Aéroport,Rennes,France
IO CREO 2023,"IO CREO is a fair dedicated to female creativity in Pordenone. Three days dedicated to the love of creativity and the handmade. Raw materials, accessories and tools for creativity and hobbies, as well as numerous courses and demonstrations",Public,once a year,infofiere@fierapordenone.it,http://io-creo.it/,2023-11-17,3,Pordenone Fiere,Pordenone,Italy
IDEA NATALE 2023,"Udine Christmas Fair. Promotion of arts and crafts, creativity and the Nativity gift",Public,once a year,info@udinegoriziafiere.it,http://www.ideanatale.it/,2023-11-17,4,Udine e Gorizia Fiere,Udine,Italy
FORUM POST BAC DE LIMOGES 2023,"Post-baccalaureate forum. Many exhibitors, training offered and round tables to discover, meet, learn, find your way",Public,once a year,info@letudiant.fr,http://forum-post-bac-limoges.salon.letudiant.fr/maintenance,2023-11-17,2,Parc des expositions de Limoges,Limoges,France
HOBBY POZNAN 2023,Hobby & Model Making Exhibition,Public,once a year,hobby@mtp.pl,http://hobby.mtp.pl/en,2023-11-18,2,Poznan Congress Center,Poznan,Poland
MIAM ALÈS 2023,Gastronomy and Local Products Fair,Public,once a year,,http://www.miam-ales.com/,2023-11-17,4,Parc des expositions d'Alès,Alès,France
FIRAUTO 2023,"Auto, Motorbike and related industries Exhibition",Public,once a year,ifa@ifavirtual.com,http://www.feria-alicante.com/ferias,2023-11-17,3,Institución Ferial Alicantina,Alicante,Spain
DENTAMED 2023,Lower Silesia Dentistry Trade Fair,Public,once a year,grabowska@targi.krakow.pl,http://targidentamed.pl/,2023-11-17,2,Centennial Hall,Wroclaw,Poland
IDEA SOLIDALE 2023,Meetings & Spaces with Volunteer Associations,Public,once a year,info@udinegoriziafiere.it,http://www.ideanatale.it/,2023-11-17,4,Udine e Gorizia Fiere,Udine,Italy
LE SALON DES GRANDES ÉCOLES DE RENNES 2023,"Grandes Ecoles Fair, engineering and business schools. The different schools will be happy to present you their courses in order to help you choose your path and find the right school",Public,once a year,info@letudiant.fr,http://salon-grandes-ecoles-rennes.salon.letudiant.fr/,2023-11-18,1,Parc-Expo de Rennes-Aéroport,Rennes,France
JOURNÉES PROFESSIONNELLES ESF 2023,Professional days of the National Union of French Ski Instructors,Public,once a year,infos@tarbes-expos.com,http://www.tarbes-expos.com/,2023-11-17,2,Tarbes - Parc des Expositions,Tarbes,France
FERME EXPO TOURS 2023,Regional Exhibition of Agriculture and Gastronomy in Tours,Public,once a year,ferme-expo@cda37.fr,http://www.ferme-expo.com/,2023-11-17,3,Parc des expositions de Tours,Tours,France
FINEST AUDIOSHOW VIENNA 2023,HiFi & Home Theatre Installation International Exhibition,Public,once a year,info@highendsociety.de,http://www.highendsociety.de/,2023-11-18,2,Messezentrum Wien (Vienna Exhibition Centre),Vienna,Austria
VIVEZ NATURE LYON 2023,Bio Agriculture and Natural Products Fair,Public,once a year,naturally@wanadoo.fr,http://www.vivez-nature.com/,2023-11-17,3,Eurexpo,Lyon,France
